Start new Submit: 10.06.2007 15:01:08, INFO
Start new Submit: 10.06.2007 16:13:15, INFO
Start new Submit: 10.06.2007 21:03:57, INFO
Start new Submit: 10.06.2007 21:05:09, INFO
Start new Submit: 10.06.2007 21:05:19, INFO
Start new Submit: 10.06.2007 21:07:03, INFO
Start new Submit: 10.06.2007 21:12:56, INFO
Start new Submit: 10.06.2007 21:14:43, INFO
Start new Submit: 10.06.2007 21:17:08, INFO
Start new Submit: 10.06.2007 21:18:06, INFO
Start new Submit: 10.06.2007 21:18:24, INFO
Start new Submit: 10.06.2007 21:30:04, INFO
Start new Submit: 11.06.2007 12:08:57, INFO
Start new Submit: 11.06.2007 12:09:44, INFO
Start new Submit: 11.06.2007 12:11:59, INFO
Start new Submit: 11.06.2007 12:12:20, INFO
Start new Submit: 11.06.2007 12:22:17, INFO
Start new Submit: 11.06.2007 12:22:22, INFO
Start new Submit: 11.06.2007 12:35:37, INFO
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:35:41, INFO
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:37:26, INFO
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:37:55, INFO
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:38:36, INFO
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:39:39, INFO
Erfurt_App_Default::__construct(), DEBUG
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:40:36, INFO
Erfurt_App_Default::__construct(), DEBUG
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:43:01, INFO
Erfurt_App_Default::__construct(), DEBUG
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Start new Submit: 11.06.2007 12:44:38, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:47:08, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:47:13, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:47:13, INFO
Erfurt_App_Default::__construct(), DEBUG
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Start new Submit: 11.06.2007 12:47:46, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:47:56, INFO
Erfurt_App_Default::__construct(), DEBUG
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:47:56, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:48:57, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:52:04, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:52:06, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:52:21, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:52:23, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:53:11, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:53:22, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:53:34, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:53:38, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:53:43, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:54:11, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:55:46, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:58:52, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:58:56, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:58:59, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:59:04, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:59:11, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:59:45, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:59:45, INFO
Erfurt_App_Default::__construct(), DEBUG
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Start new Submit: 11.06.2007 12:59:51, INFO
Erfurt_App_Default::__construct(), DEBUG
Erfurt_Auth_Adapter_RDF::_constuctor(), DEBUG
Erfurt_Auth_Adapter_RDF::fetchData(), DEBUG
Start new Submit: 11.06.2007 12:59:52, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 12:59:56, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:00:03, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:01:08, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:01:11, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:01:20, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:01:25, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:10:23, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:31, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:37, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:38, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:41, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:44, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:49, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:50, INFO
Erfurt_App_Default::__construct(), DEBUG
Start new Submit: 11.06.2007 13:11:52, INFO
Erfurt_App_Default::__construct(), DEBUG
